date,hits,keyword,geo,time,gprop,category
2020-01-05T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-01-12T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-01-19T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-01-26T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-02-02T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-02-09T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-02-16T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-02-23T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-03-01T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-03-08T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-03-15T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-03-22T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-03-29T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-04-05T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-04-12T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-04-19T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-04-26T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-05-03T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-05-10T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-05-17T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-05-24T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-05-31T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-06-07T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-06-14T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-06-21T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-06-28T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-07-05T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
2020-07-12T00:00:00Z,1,eth,world,2020-01-01 2021-05-31,web,0
