date,hits,keyword,geo,time,gprop,category
2004-01-01,10,tether,world,all,web,0
2004-02-01,9,tether,world,all,web,0
2004-03-01,8,tether,world,all,web,0
2004-04-01,12,tether,world,all,web,0
2004-05-01,15,tether,world,all,web,0
2004-06-01,12,tether,world,all,web,0
2004-07-01,12,tether,world,all,web,0
2004-08-01,6,tether,world,all,web,0
2004-09-01,8,tether,world,all,web,0
2004-10-01,9,tether,world,all,web,0
2004-11-01,12,tether,world,all,web,0
2004-12-01,14,tether,world,all,web,0
2005-01-01,8,tether,world,all,web,0
2005-02-01,10,tether,world,all,web,0
2005-03-01,11,tether,world,all,web,0
2005-04-01,10,tether,world,all,web,0
2005-05-01,6,tether,world,all,web,0
2005-06-01,9,tether,world,all,web,0
2005-07-01,8,tether,world,all,web,0
2005-08-01,13,tether,world,all,web,0
2005-09-01,6,tether,world,all,web,0
2005-10-01,8,tether,world,all,web,0
2005-11-01,11,tether,world,all,web,0
2005-12-01,12,tether,world,all,web,0
2006-01-01,8,tether,world,all,web,0
2006-02-01,11,tether,world,all,web,0
2006-03-01,12,tether,world,all,web,0
2006-04-01,11,tether,world,all,web,0
2006-05-01,13,tether,world,all,web,0
2006-06-01,9,tether,world,all,web,0
2006-07-01,11,tether,world,all,web,0
2006-08-01,10,tether,world,all,web,0
2006-09-01,10,tether,world,all,web,0
2006-10-01,13,tether,world,all,web,0
2006-11-01,11,tether,world,all,web,0
2006-12-01,15,tether,world,all,web,0
2007-01-01,13,tether,world,all,web,0
2007-02-01,12,tether,world,all,web,0
2007-03-01,12,tether,world,all,web,0
2007-04-01,13,tether,world,all,web,0
2007-05-01,17,tether,world,all,web,0
2007-06-01,19,tether,world,all,web,0
2007-07-01,18,tether,world,all,web,0
2007-08-01,13,tether,world,all,web,0
2007-09-01,21,tether,world,all,web,0
2007-10-01,17,tether,world,all,web,0
2007-11-01,17,tether,world,all,web,0
2007-12-01,18,tether,world,all,web,0
2008-01-01,15,tether,world,all,web,0
2008-02-01,19,tether,world,all,web,0
2008-03-01,19,tether,world,all,web,0
2008-04-01,23,tether,world,all,web,0
2008-05-01,18,tether,world,all,web,0
2008-06-01,20,tether,world,all,web,0
2008-07-01,27,tether,world,all,web,0
2008-08-01,30,tether,world,all,web,0
2008-09-01,26,tether,world,all,web,0
2008-10-01,19,tether,world,all,web,0
2008-11-01,23,tether,world,all,web,0
2008-12-01,22,tether,world,all,web,0
2009-01-01,22,tether,world,all,web,0
2009-02-01,26,tether,world,all,web,0
2009-03-01,28,tether,world,all,web,0
2009-04-01,28,tether,world,all,web,0
2009-05-01,26,tether,world,all,web,0
2009-06-01,44,tether,world,all,web,0
2009-07-01,42,tether,world,all,web,0
2009-08-01,45,tether,world,all,web,0
2009-09-01,41,tether,world,all,web,0
2009-10-01,42,tether,world,all,web,0
2009-11-01,41,tether,world,all,web,0
2009-12-01,41,tether,world,all,web,0
2010-01-01,47,tether,world,all,web,0
2010-02-01,45,tether,world,all,web,0
2010-03-01,53,tether,world,all,web,0
2010-04-01,57,tether,world,all,web,0
2010-05-01,66,tether,world,all,web,0
2010-06-01,70,tether,world,all,web,0
2010-07-01,84,tether,world,all,web,0
2010-08-01,95,tether,world,all,web,0
2010-09-01,92,tether,world,all,web,0
2010-10-01,86,tether,world,all,web,0
2010-11-01,81,tether,world,all,web,0
2010-12-01,98,tether,world,all,web,0
2011-01-01,91,tether,world,all,web,0
2011-02-01,82,tether,world,all,web,0
2011-03-01,87,tether,world,all,web,0
2011-04-01,89,tether,world,all,web,0
2011-05-01,90,tether,world,all,web,0
2011-06-01,91,tether,world,all,web,0
2011-07-01,94,tether,world,all,web,0
2011-08-01,86,tether,world,all,web,0
2011-09-01,77,tether,world,all,web,0
2011-10-01,85,tether,world,all,web,0
2011-11-01,91,tether,world,all,web,0
2011-12-01,100,tether,world,all,web,0
2012-01-01,92,tether,world,all,web,0
2012-02-01,80,tether,world,all,web,0
2012-03-01,80,tether,world,all,web,0
2012-04-01,71,tether,world,all,web,0
2012-05-01,69,tether,world,all,web,0
2012-06-01,71,tether,world,all,web,0
2012-07-01,72,tether,world,all,web,0
2012-08-01,68,tether,world,all,web,0
2012-09-01,66,tether,world,all,web,0
2012-10-01,64,tether,world,all,web,0
2012-11-01,60,tether,world,all,web,0
2012-12-01,64,tether,world,all,web,0
2013-01-01,60,tether,world,all,web,0
2013-02-01,57,tether,world,all,web,0
2013-03-01,53,tether,world,all,web,0
2013-04-01,45,tether,world,all,web,0
2013-05-01,44,tether,world,all,web,0
2013-06-01,50,tether,world,all,web,0
2013-07-01,49,tether,world,all,web,0
2013-08-01,48,tether,world,all,web,0
2013-09-01,43,tether,world,all,web,0
2013-10-01,41,tether,world,all,web,0
2013-11-01,42,tether,world,all,web,0
2013-12-01,43,tether,world,all,web,0
2014-01-01,40,tether,world,all,web,0
2014-02-01,38,tether,world,all,web,0
2014-03-01,37,tether,world,all,web,0
2014-04-01,37,tether,world,all,web,0
2014-05-01,33,tether,world,all,web,0
2014-06-01,31,tether,world,all,web,0
2014-07-01,33,tether,world,all,web,0
2014-08-01,35,tether,world,all,web,0
2014-09-01,33,tether,world,all,web,0
2014-10-01,33,tether,world,all,web,0
2014-11-01,31,tether,world,all,web,0
2014-12-01,31,tether,world,all,web,0
2015-01-01,31,tether,world,all,web,0
2015-02-01,29,tether,world,all,web,0
2015-03-01,31,tether,world,all,web,0
2015-04-01,29,tether,world,all,web,0
2015-05-01,27,tether,world,all,web,0
2015-06-01,28,tether,world,all,web,0
2015-07-01,28,tether,world,all,web,0
2015-08-01,28,tether,world,all,web,0
2015-09-01,26,tether,world,all,web,0
2015-10-01,26,tether,world,all,web,0
2015-11-01,25,tether,world,all,web,0
2015-12-01,27,tether,world,all,web,0
2016-01-01,26,tether,world,all,web,0
2016-02-01,24,tether,world,all,web,0
2016-03-01,23,tether,world,all,web,0
2016-04-01,24,tether,world,all,web,0
2016-05-01,22,tether,world,all,web,0
2016-06-01,22,tether,world,all,web,0
2016-07-01,24,tether,world,all,web,0
2016-08-01,24,tether,world,all,web,0
2016-09-01,23,tether,world,all,web,0
2016-10-01,23,tether,world,all,web,0
2016-11-01,20,tether,world,all,web,0
2016-12-01,23,tether,world,all,web,0
2017-01-01,26,tether,world,all,web,0
2017-02-01,25,tether,world,all,web,0
2017-03-01,24,tether,world,all,web,0
2017-04-01,25,tether,world,all,web,0
2017-05-01,24,tether,world,all,web,0
2017-06-01,25,tether,world,all,web,0
2017-07-01,27,tether,world,all,web,0
2017-08-01,27,tether,world,all,web,0
2017-09-01,28,tether,world,all,web,0
2017-10-01,24,tether,world,all,web,0
2017-11-01,35,tether,world,all,web,0
2017-12-01,42,tether,world,all,web,0
2018-01-01,53,tether,world,all,web,0
2018-02-01,47,tether,world,all,web,0
2018-03-01,27,tether,world,all,web,0
2018-04-01,27,tether,world,all,web,0
2018-05-01,25,tether,world,all,web,0
2018-06-01,26,tether,world,all,web,0
2018-07-01,25,tether,world,all,web,0
